,dates,company A,company B,Ratio,change,gain,loss,avg_gain,avg_loss,rs,rsi
0,09-Mar-20,1114.15,2573.35,0.432957040433676,-0.031751100185325454,0.0,0.031751100185325454,0.003989353834247645,0.004874463176541953,0.8184191140157052,45.00717726225115
1,06-Mar-20,1271.0,2735.05,0.46470814061900145,-0.02024738247015584,0.0,0.02024738247015584,0.004296227206112849,0.0036919309231870394,1.1636802788293108,53.78245067977124
2,05-Mar-20,1311.15,2703.65,0.4849555230891573,-0.009125244013922174,0.0,0.009125244013922174,0.004626706221967683,0.0032739837623612595,1.4131732341368775,58.560786857157765
3,04-Mar-20,1339.7,2711.5,0.49408076710307947,-0.004702778258606821,0.0,0.004702778258606821,0.004982606700580582,0.0031640764934192933,1.5747428075596472,61.16116929955406
4,03-Mar-20,1342.85,2692.25,0.4987835453616863,0.027416881082623135,0.027416881082623135,0.0,0.0032568932865773086,0.003407466992913085,0.9558106632730581,48.8703063758485
5,02-Mar-20,1316.15,2792.2,0.47136666427906315,0.011626179849997365,0.011626179849997365,0.0,0.002613102012468074,0.0036695798385217838,0.7120984220146329,41.59214288491101
6,28-Feb-20,1328.65,2890.0,0.4597404844290658,-0.012319040191243413,0.0,0.012319040191243413,0.0028141098595810027,0.0030042367344662742,0.9367137507161036,48.36614344116429
7,27-Feb-20,1386.25,2936.6,0.4720595246203092,-0.0003493534086054795,0.0,0.0003493534086054795,0.0030305798487795417,0.003208458528763259,0.9445594579487108,48.57447038133325
8,26-Feb-20,1392.0,2946.6,0.4724088780289147,-0.008150258837476054,0.0,0.008150258837476054,0.003263701375608737,0.002828320043477659,1.1539363740447632,53.57337328761699
9,25-Feb-20,1416.4,2947.4,0.48055913686639073,-0.0042420709846409665,0.0,0.0042420709846409665,0.0035147553275786405,0.0027195699710804815,1.2923937846622984,56.37747726020318
10,24-Feb-20,1444.95,2980.5,0.4848012078510317,6.788539140029082e-05,6.788539140029082e-05,0.0,0.0037798991688231293,0.0029287676611635953,1.2906107981680528,56.34352196367171
11,20-Feb-20,1485.95,3065.5,0.4847333224596314,-0.0017916379078990463,0.0,0.0017916379078990463,0.004070660643347985,0.003016239180645484,1.3495815151094392,57.43922934491499
12,19-Feb-20,1503.8,3090.9,0.48652496036753046,0.01048278680710868,0.01048278680710868,0.0,0.0035774201692125476,0.003248257579156675,1.1013351256895492,52.41120810409278
13,18-Feb-20,1467.4,3082.5,0.4760421735604218,-0.004595750747030447,0.0,0.004595750747030447,0.003852606336075051,0.003144604258551,1.2251482283021173,55.05917370893343
14,17-Feb-20,1478.25,3075.6,0.4806379243074522,0.007843619705367344,0.007843619705367344,0.0,0.0035456053076679517,0.003386496893824154,1.0469831861160004,51.14762022557566
15,14-Feb-20,1487.6,3146.4,0.4727943046020849,0.002780913452996747,0.002780913452996747,0.0,0.0036044277580272754,0.003646996654887551,0.9883276841498534,49.7064790692401
16,13-Feb-20,1474.15,3136.4,0.47001339114908813,0.0027025816267921554,0.0027025816267921554,0.0,0.0036738005373530536,0.0039275348591096704,0.9353960357173926,48.33098851371108
