,dates,company A,company B,Ratio,change,gain,loss,avg_gain,avg_loss,rs,rsi
0,09-Mar-20,1578.15,457.75,3.4476242490442384,0.09396947367670494,0.09396947367670494,0.0,0.029154240827415297,0.015323273559663567,1.9026117829130107,65.54826911794531
1,06-Mar-20,1631.05,486.35,3.3536547753675334,0.08041394286010028,0.08041394286010028,0.0,0.025211186824901068,0.01650198691040692,1.5277667448034224,60.43938776962716
2,05-Mar-20,1651.35,504.5,3.273240832507433,0.11016421206875915,0.11016421206875915,0.0,0.01867633872921968,0.017771370518899758,1.0509228148362273,51.24146102593075
3,04-Mar-20,1607.95,508.35,3.163076620438674,0.0036788545328945155,0.0036788545328945155,0.0,0.019829991359706232,0.019138399020353587,1.0361363737174223,50.88737606635471
4,03-Mar-20,1626.3,514.75,3.1593977659057795,-5.688732480724212e-05,0.0,5.688732480724212e-05,0.021355375310452868,0.02060620761231869,1.0363564083323278,50.89268283743369
5,02-Mar-20,1599.0,506.1,3.1594546532305867,-0.09916777009771893,0.0,0.09916777009771893,0.02299809648818001,0.014563010498057135,1.579213068015587,61.2284842845734
6,28-Feb-20,1620.35,497.25,3.2586224233283057,-0.0066341983850928266,0.0,0.0066341983850928266,0.024767180833424624,0.015172919122131312,1.632328007159747,62.01081334544668
7,27-Feb-20,1682.75,515.35,3.2652566217133985,0.0830912598650122,0.0830912598650122,0.0,0.020280713215610195,0.016340066746910645,1.2411646494311044,55.38034208000562
8,26-Feb-20,1666.5,523.7,3.1821653618483863,0.02593596171654733,0.02593596171654733,0.0,0.019845694100153494,0.017596994958211463,1.1277888154927667,53.00285476082767
9,25-Feb-20,1675.8,530.95,3.156229400131839,-0.011176469453892945,0.0,0.011176469453892945,0.021372285954011454,0.018090881535466733,1.1813844401176143,54.15755326713146
10,24-Feb-20,1678.25,529.85,3.167405869585732,0.08523036684350149,0.08523036684350149,0.0,0.016460125885589143,0.019482487807425713,0.844867762694834,45.7955729824624
11,20-Feb-20,1685.95,547.0,3.0821755027422304,-0.04025474689066266,0.0,0.04025474689066266,0.017726289415249848,0.017884621724099794,0.9911470138260408,49.77769129771719
12,19-Feb-20,1701.1,544.8,3.122430249632893,-0.002107813929560276,0.0,0.002107813929560276,0.019089850139499837,0.019098222323679758,0.9995616249492739,49.98903822104665
13,18-Feb-20,1691.0,541.2,3.1245380635624533,0.0021229970927341135,0.0021229970927341135,0.0,0.020394992681558737,0.020567316348578203,0.9916214802116671,49.78965581884962
14,17-Feb-20,1691.1,541.6,3.1224150664697192,0.0426239341868313,0.0426239341868313,0.0,0.018685074104230082,0.022149417606161143,0.8435921177012162,45.758067069254736
15,14-Feb-20,1680.95,545.8,3.079791132282888,-0.04368391392783266,0.0,0.04368391392783266,0.020122387496863164,0.020492917889109487,0.9819191003325479,49.54385374094184
16,13-Feb-20,1689.8,541.0,3.1234750462107206,0.0015016254934434592,0.0015016254934434592,0.0,0.021554753804818527,0.022069296188271754,0.976685147588591,49.41025376651786
17,12-Feb-20,1714.9,549.3,3.121973420717277,0.014145722708939878,0.014145722708939878,0.0,0.02212467927373227,0.023766934356600353,0.9309016864258722,48.210724190157244
18,11-Feb-20,1677.45,539.75,3.1078276980083372,-0.018494991382054682,0.0,0.018494991382054682,0.023826577679403986,0.024172468431565407,0.9856907144944393,49.639689972836386
19,10-Feb-20,1669.3,533.95,3.126322689390392,0.04486122979490359,0.04486122979490359,0.0,0.022208527516673245,0.026031889080147363,0.8531277714151786,46.03718019743832
20,07-Feb-20,1653.05,536.45,3.0814614595954883,-0.009380490182945955,0.0,0.009380490182945955,0.023916875787186574,0.027312765918393628,0.8756665604152485,46.68561986952452
21,06-Feb-20,1674.0,541.6,3.0908419497784343,-0.043548701306707294,0.0,0.043548701306707294,0.025756635463124,0.026063847811600267,0.9882130853933419,49.70358019738296
22,05-Feb-20,1689.75,539.1,3.1343906510851416,-0.06511952223814399,0.0,0.06511952223814399,0.027737915114133538,0.0230595651634046,1.2028811002105735,54.60490355542068
23,04-Feb-20,1698.3,530.8,3.1995101733232856,-0.051871845879507994,0.0,0.051871845879507994,0.02987160089214381,0.020843235877550492,1.4331556322460202,58.901108225579854
24,03-Feb-20,1676.25,515.55,3.2513820192027936,-0.014472122691776335,0.0,0.014472122691776335,0.03216941634538564,0.021333321507225427,1.5079422271159284,60.12667320690337
25,01-Feb-20,1647.95,504.6,3.26585414189457,0.04745787061139639,0.04745787061139639,0.0,0.030993381401846355,0.02297434623855046,1.349043018679684,57.42947268108928
26,31-Jan-20,1691.75,525.65,3.2183962712831735,0.15892614726964505,0.15892614726964505,0.0,0.021152399412015688,0.02474160364151588,0.8549324335841519,46.08968057840402
27,30-Jan-20,1628.25,532.2,3.0594701240135285,-0.05570268267086176,0.0,0.05570268267086176,0.022779507059093818,0.022359982177720044,1.0187623083971773,50.46469830348858
28,29-Jan-20,1640.45,526.6,3.1151728066843902,0.036698743829411296,0.036698743829411296,0.0,0.021708796538300164,0.024079980806775435,0.9015288140176554,47.41073642280789
29,28-Jan-20,1626.05,528.2,3.078474062854979,0.06618927923469053,0.06618927923469053,0.0,0.018287220946270135,0.02593228702268124,0.7051912131882361,41.355550493936896
30,27-Jan-20,1618.35,537.25,3.0122847836202884,-0.06526508993970026,0.0,0.06526508993970026,0.019693930249829374,0.02290668679829516,0.8597459083997736,46.229213599375285
31,24-Jan-20,1642.95,533.85,3.0775498735599887,0.03443825711124937,0.03443825711124937,0.0,0.018559751260489372,0.02466873962893325,0.7523591208819269,42.93407167038225
32,23-Jan-20,1605.85,527.7,3.0431116164487393,0.01069314078650363,0.01069314078650363,0.0,0.019164875143103662,0.026566334985005036,0.7213970295082474,41.907649260573514
33,22-Jan-20,1585.5,522.85,3.0324184756622357,-0.027745350719460937,0.0,0.027745350719460937,0.02063909630795779,0.026475641466969964,0.779550377795619,43.80603030532189
34,21-Jan-20,1625.1,531.05,3.0601638263816966,0.03520355714733192,0.03520355714733192,0.0,0.01951875316646747,0.0285122292721215,0.6845747829880279,40.63783869385471
35,20-Jan-20,1617.9,534.85,3.0249602692343647,-0.16665705996401892,0.0,0.16665705996401892,0.0210201957177342,0.017885703834283236,1.1752512460506466,54.02829894635919
36,17-Jan-20,1698.1,532.05,3.1916173291983836,0.02388019804321262,0.02388019804321262,0.0,0.020800195538851245,0.01926152720615118,1.0798829872746898,51.920372149862196
37,16-Jan-20,1701.55,537.15,3.167737131155171,0.03928306095352818,0.03928306095352818,0.0,0.019378436660799175,0.020743183145085886,0.9342074707270748,48.29923805308762
38,15-Jan-20,1675.6,535.6,3.128454070201643,0.009406451154024165,0.009406451154024165,0.0,0.02014551246901264,0.0223388126177848,0.9018166190701654,47.418694842990746
39,14-Jan-20,1676.8,537.6,3.1190476190476186,-0.02075928774777669,0.0,0.02075928774777669,0.021695167274321303,0.022460314530862346,0.9659333685870842,49.133576143595356
40,13-Jan-20,1691.1,538.6,3.1398069067953953,0.021435782315987417,0.021435782315987417,0.0,0.021715119963423908,0.024188031033236374,0.8977630272420901,47.306382006332875
41,10-Jan-20,1684.7,540.25,3.118371124479408,0.07050365239447265,0.07050365239447265,0.0,0.017962155930266312,0.026048648805023784,0.6895619064433816,40.81305951641313
42,09-Jan-20,1665.05,546.3,3.0478674720849352,-0.09853427713076934,0.0,0.09853427713076934,0.01934386023259449,0.020472831241504896,0.9448551597191098,48.582289277293675
43,08-Jan-20,1654.85,525.95,3.1464017492157046,-0.048951090715448675,0.0,0.048951090715448675,0.020831849481255604,0.018282195897355375,1.1394610143231783,53.259255798294994
44,07-Jan-20,1670.85,522.9,3.1953528399311533,0.05182991811262605,0.05182991811262605,0.0,0.01844738266345788,0.019688518658690403,0.9369614333740293,48.37274595302183
45,06-Jan-20,1652.55,525.7,3.143522921818527,0.06827006851983564,0.06827006851983564,0.0,0.014614868366813435,0.02120302009397428,0.6892823900575776,40.80326617470298
46,03-Jan-20,1657.1,538.85,3.0752528532986916,-0.016774523689839338,0.0,0.016774523689839338,0.01573908901041447,0.02154367366352312,0.7305666274115199,42.21545798004083
47,02-Jan-20,1671.55,540.6,3.092027376988531,-0.026836153519154138,0.0,0.026836153519154138,0.016949788165061735,0.021136559828474583,0.8019180180034526,44.503579518672424
48,01-Jan-20,1674.05,536.75,3.118863530507685,-0.006669963647074617,0.0,0.006669963647074617,0.01825361802391264,0.0222493749193515,0.8204103751263802,45.067331319149616
49,31-Dec-19,1684.35,538.9,3.1255334941547597,0.017894924433278003,0.017894924433278003,0.0,0.01828120983857684,0.023960865297763156,0.7629611707004365,43.2772532589193
50,30-Dec-19,1690.4,543.95,3.1076385697214817,0.039564306889301015,0.039564306889301015,0.0,0.01664404852698267,0.025804008782206476,0.6450179376182748,39.21038931357542
51,27-Dec-19,1685.6,549.4,3.0680742628321807,-0.07670531953440873,0.0,0.07670531953440873,0.017924359952135184,0.02188852333972938,0.8188930643667985,45.021506783955736
52,26-Dec-19,1694.25,538.75,3.1447795823665894,-0.018314115655956975,0.0,0.018314115655956975,0.0193031568715302,0.022163477776942643,0.8709444007750389,46.55105733843561
53,24-Dec-19,1711.55,541.1,3.1630936980225464,0.013453941879926212,0.013453941879926212,0.0,0.01975309648626897,0.02386836068286131,0.8275849669245484,45.282981743782045
54,23-Dec-19,1704.9,541.3,3.14963975614262,0.050024301097756574,0.050024301097756574,0.0,0.017424542285385307,0.0257043884276968,0.6778820019156785,40.40105330063284
55,20-Dec-19,1692.7,546.1,3.0996154550448636,-0.10197654791700206,0.0,0.10197654791700206,0.018764891691953407,0.019837299236211782,0.9459398413317898,48.61094989886193
56,19-Dec-19,1729.5,540.2,3.2015920029618656,0.016608626530391746,0.016608626530391746,0.0,0.018930758242842762,0.021363245331304997,0.8861368181313843,46.9815768195061
57,18-Dec-19,1724.35,541.4,3.184983376431474,0.018948081226817237,0.018948081226817237,0.0,0.018929425705613956,0.023006571895251536,0.8227834112704515,45.13884678690291
58,17-Dec-19,1713.3,541.15,3.1660352952046567,0.006183649400298474,0.006183649400298474,0.0,0.01990987003679207,0.024776308194886267,0.8035850167904106,44.554873172568215
59,16-Dec-19,1703.95,539.25,3.159851645804358,0.007910485763393371,0.007910485763393371,0.0,0.020832899596284277,0.026682178056031364,0.7807795732618279,43.84481858311556
60,13-Dec-19,1692.75,537.05,3.151941160040965,-0.05269132338109506,0.0,0.05269132338109506,0.02243543033445999,0.024681474569488004,0.9089987825198806,47.616519761212274
61,12-Dec-19,1715.6,535.35,3.20463248342206,0.043635388491875204,0.043635388491875204,0.0,0.02080466432235113,0.0265800495363717,0.782717289291819,43.905856188939076
62,11-Dec-19,1686.55,533.55,3.1609970949301847,0.01668084753090371,0.01668084753090371,0.0,0.021121880998616317,0.028624668731477215,0.7378908450175204,42.45898683067644
