,dates,company A,company B,Ratio,change,gain,loss,avg_gain,avg_loss,rs,rsi
0,09-Mar-20,6201.1,1107.3,5.600198681477468,-0.07955283848023686,0.0,0.07955283848023686,0.043576461455323394,0.03280107827062092,1.3285069806486731,57.05402610726033
1,06-Mar-20,6445.95,1134.9,5.679751519957705,0.15063352803517915,0.15063352803517915,0.0,0.035341302487642175,0.03532423813759176,1.0004830776529121,50.01207402497698
2,05-Mar-20,6365.95,1151.35,5.529117991922526,-0.028047869591162566,0.0,0.028047869591162566,0.038059864217460805,0.035883958795009385,1.060637273464767,51.471323319382925
3,04-Mar-20,6384.35,1148.85,5.557165861513688,0.15350195899211094,0.15350195899211094,0.0,0.02917970308094925,0.03864426331770241,0.7550849874160345,43.02270219561995
4,03-Mar-20,6386.05,1181.8,5.403663902521577,0.07545942642798664,0.07545942642798664,0.0,0.025619724361946372,0.04161689895752567,0.6156086830999575,38.10382362632238
5,02-Mar-20,6285.15,1179.6,5.328204476093591,-0.007081899315061868,0.0,0.007081899315061868,0.0275904723897884,0.044273437391561345,0.6231834258942639,38.39266813305046
6,28-Feb-20,6283.1,1177.65,5.335286375408653,0.09138291965810019,0.09138291965810019,0.0,0.022683361061456724,0.04767908642168145,0.4757507486792314,32.237879540635106
7,27-Feb-20,6289.8,1199.45,5.243903455750552,0.04494577386604082,0.04494577386604082,0.0,0.02097086776879641,0.051346708454118484,0.40841698329183457,28.998300087042296
8,26-Feb-20,6234.85,1199.25,5.198957681884512,-0.14516462087313275,0.0,0.14516462087313275,0.02258401144331921,0.04412994596034815,0.5117615929920127,33.852003871798104
9,25-Feb-20,6414.55,1200.3,5.344122302757644,-0.0035366914156682583,0.0,0.0035366914156682583,0.0243212430928053,0.047252504002246606,0.5147080267248685,33.980675987951315
10,24-Feb-20,6470.4,1209.95,5.347658994173313,-0.2045552856722228,0.0,0.2045552856722228,0.026192107946098015,0.03515229002763305,0.7451038872718825,42.69682124407515
11,20-Feb-20,6757.6,1217.1,5.552214279845535,0.04651023812454458,0.04651023812454458,0.0,0.02462917485544828,0.03785631233745098,0.6505962502608267,39.41583231865574
12,19-Feb-20,6756.6,1227.2,5.505704041720991,-0.08349851339955361,0.0,0.08349851339955361,0.026523726767405838,0.03434537379421232,0.7722649031665354,43.57502661067861
13,18-Feb-20,6781.1,1213.25,5.589202555120544,-0.08532400282219044,0.0,0.08532400282219044,0.028564013441821672,0.030423940792060157,0.9388663236314253,48.42346850777021
14,17-Feb-20,6906.75,1217.15,5.674526557942735,0.004456438616863956,0.004456438616863956,0.0,0.030418442274510727,0.03276424392991094,0.9284036078959021,48.14363570439963
15,14-Feb-20,6913.8,1219.35,5.670070119325871,0.027207222596372205,0.027207222596372205,0.0,0.030665459172829073,0.03528457038605793,0.8690897703248212,46.49802187798533
16,13-Feb-20,7005.05,1241.4,5.642862896729499,0.0037115756726526783,0.0037115756726526783,0.0,0.032738834826688795,0.03799876810806239,0.8615762156705926,46.282081196456865
17,12-Feb-20,7043.3,1249.0,5.639151321056846,-0.030484339107591296,0.0,0.030484339107591296,0.03525720673643409,0.03857680110809862,0.9139484281663874,47.7519882310504
18,11-Feb-20,7033.75,1240.6,5.669635660164437,0.11218988091748106,0.11218988091748106,0.0,0.029339308722507396,0.04154424734718313,0.7062183237385505,41.39085332240088
19,10-Feb-20,6892.9,1240.3,5.557445779246956,-0.05497573097683972,0.0,0.05497573097683972,0.03159617862423873,0.040511056298748,0.7799396389774023,43.818319559728856
20,07-Feb-20,6971.75,1242.2,5.612421510223796,-0.05107260172974559,0.0,0.05107260172974559,0.034026653903026324,0.0396986297271328,0.8571241409818775,46.153303490455336
21,06-Feb-20,7021.6,1239.8,5.663494111953542,0.0065624444164837925,0.0065624444164837925,0.0,0.036139285401991135,0.04275237047537378,0.8453165286544306,45.80875505790972
22,05-Feb-20,7040.9,1244.65,5.656931667537058,-0.1973535820970298,0.0,0.1973535820970298,0.03891923043291353,0.03085996958140024,1.2611558261668128,55.774830357656796
23,04-Feb-20,7199.6,1229.8,5.854285249634088,-0.02373285901782385,0.0,0.02373285901782385,0.0419130173892915,0.0314082088555215,1.334460604935874,57.16355213338589
24,03-Feb-20,7011.3,1192.8,5.878018108651911,0.19465279623012144,0.19465279623012144,0.0,0.030163803632304583,0.033824224921330845,0.891781074140213,47.13976084920474
25,01-Feb-20,6812.65,1198.7,5.68336531242179,0.04567469837954885,0.04567469837954885,0.0,0.028970657882516564,0.036426088376817836,0.7953271727346373,44.29984600094907
26,31-Jan-20,6913.5,1226.3,5.637690614042241,-0.08838091648261504,0.0,0.08838091648261504,0.03119917002732553,0.032429563137910365,0.962059522499503,49.03314662309113
27,30-Jan-20,7020.45,1226.05,5.726071530524856,0.05361937209138912,0.05361937209138912,0.0,0.029474539099320636,0.034924144917749624,0.8439587903651347,45.76885312051994
28,29-Jan-20,7010.3,1235.85,5.672452158433467,-0.04783070618393026,0.0,0.04783070618393026,0.031741811337729915,0.033931332512658806,0.9354719955630377,48.33301632405715
